Name,Type,Label,Mandatory,Options,OptionNames,Value,Placeholder,Description,Fieldset,Repeatable,Min,Max,Pattern,ReadOnly,Visible,Style,Visible Expression,Value Expression,Required Error Message,Pattern Error Message
heading,plain-text,How may we help you?,,,,,,,,,,,,,,,,,,
firstName,text,First Name,true,,,,Jane,,,,,,,,,,,,This field is required,
lastName,text,Last Name,true,,,,Doe,,,,,,,,,,,,This field is required,
fullName,text,Full Name,,,,,,Auto-filled from first and last name,,,,,,true,,,,"=getFullName($B$3,$B$4)",,
businessEmail,email,Business Email,true,,,,name@company.com,Use your work email,,,,,,,,,,,Please enter your business email,
phone,tel,Phone,,,,,,,,,,,,,,,,,,
country,select,Country,true,"Please select,United States,Canada,India,United Kingdom","Please select,United States,Canada,India,United Kingdom",,,,,,,,,,,,,,Please select a country,
requestType,select,Select Your Request,true,"General Inquiry,SDS Request,Product Support","General Inquiry,SDS Request,Product Support",,,,,,,,,,,,,,Please choose a request type,
sdsProduct,text,Product name for SDS,,,,,,Shown only when Request = SDS Request,,,,,,,,,=$B$9="SDS Request",,This field is required,
interests,checkbox-group,Topics of interest,,"coatings,pharma,nutra","Coatings,Pharma,Nutraceuticals",,,Choose all that apply,,,,,,,,,,,,
message,textarea,Message,,,,,,,,,,500,,,,,,,,
consent,checkbox,I acknowledge this company may contact me about my request.,true,,,,,,,,,,,,,,,,You must acknowledge to continue,
privacy,plain-text,Our privacy policy can be found here.,,,,,,,,,,,,,,,,,,
recaptcha,captcha,,,,,,,,,,,,,,,,,,,
btn_submit,submit,Submit,,,,Thank you! We will be in touch shortly.,,,,,,,,,,,,,,
